ID,BATHRM,HF_BATHRM,HEAT,AC,NUM_UNITS,ROOMS,BEDRM,AYB,YR_RMDL,EYB,STORIES,SALEDATE,PRICE,QUALIFIED,SALE_NUM,GBA,BLDG_NUM,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,SOURCE,CMPLX_NUM,LIVING_GBA,FULLADDRESS,CITY,STATE,ZIPCODE,NATIONALGRID,LATITUDE,LONGITUDE,ASSESSMENT_NBHD,ASSESSMENT_SUBNBHD,CENSUS_TRACT,CENSUS_BLOCK,WARD,SQUARE,X,Y,QUADRANT
13522,1,1,Forced Air,Y,1,6,3,1907,2004,1967,2,8/6/2012 0:00,465000,Q,1,1188,1,2 Story,Row End,Above Average,Good,Common Brick,Built Up,Hardwood,1,1,11,825,7/22/2018 18:01,Residential,,,1214 WYLIE STREET NE,WASHINGTON,DC,20002,18S UJ 27473 07657,38.90086186,-76.98955706,Old City 1,039 L Old City 1,8410,008410 1002,Ward 6,1003,-76.98930287,38.90068802,NE
58375,2,0,Hot Water Rad,N,1,7,3,1935,2004,1954,2,1/28/2005 0:00,360000,Q,1,1180,1,2 Story,Semi-Detached,Average,Average,Common Brick,Built Up,Hardwood,1,0,13,1576,7/22/2018 18:01,Residential,,,502 QUINTANA PLACE NW,WASHINGTON,DC,20011,18S UJ 24976 14745,38.9642078,-77.02015455,Brightwood,006 C Brightwood,1901,001901 2007,Ward 4,3200,-77.02115149,38.96450883,NW
92907,1,0,Forced Air,Y,1,6,3,1940,2012,1954,2,11/27/2017 0:00,243000,U,2,1024,1,2 Story,Row End,Average,Average,Common Brick,Built Up,Hardwood,1,0,11,3046,7/22/2018 18:01,Residential,,,3523 MINNESOTA AVENUE SE,WASHINGTON,DC,20019,18S UJ 30433 06009,38.88659604,-76.95503939,Fort Dupont Park,022 A Fort Dupont Park,7703,007703 4003,Ward 7,5425,-76.95502916,38.88664583,SE
69081,1,0,Hot Water Rad,N,1,6,3,1928,1980,1954,2,1/2/2013 0:00,285000,Q,1,1278,1,2 Story,Row End,Average,Average,Brick/Siding,Metal- Sms,Hardwood,1,0,11,1491,7/22/2018 18:01,Residential,,,920 EVARTS STREET NE,WASHINGTON,DC,20018,18S UJ 27233 10307,38.92468404,-76.99299189,Brookland,007 E Brookland,9302,009302 1011,Ward 5,3841,-76.99269149,38.9249565,NE
43370,3,1,Hot Water Rad,Y,1,8,3,1919,2000,1967,2.25,3/21/2008 0:00,689000,Q,1,2268,1,2.5 Story Fin,Row Inside,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,1,1,11,1900,7/22/2018 18:01,Residential,,,4608 15TH STREET NW,WASHINGTON,DC,20011,18S UJ 23664 12822,38.94661879,-77.03478323,16th Street Heights,049 A 16th Street Heights,2501,002501 2004,Ward 4,2705,-77.03515664,38.94663385,NW
23434,1,2,Hot Water Rad,Y,3,6,3,1927,2009,1972,2,3/12/2008 0:00,885000,Q,1,1456,1,2 Story,Semi-Detached,Very Good,Very Good,Common Brick,Built Up,Hardwood,3,1,24,2743,7/22/2018 18:01,Residential,,,5151 MACARTHUR BOULEVARD NW,WASHINGTON,DC,20016,18S UJ 17766 10680,38.92613005,-77.10223502,Kent,030 C Kent,902,000902 1007,Ward 3,1419,-77.10189195,38.92618478,NW
40193,1,1,Hot Water Rad,N,2,7,3,1913,1993,1950,2,7/11/2001 0:00,565000,Q,1,1820,1,2 Story,Row Inside,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,2,0,24,2650,7/22/2018 18:01,Residential,,,2452 1/2 ONTARIO ROAD NW,WASHINGTON,DC,20009,18S UJ 23119 10103,38.92202739,-77.04036887,Mt. Pleasant,036 C Mt. Pleasant,3800,003800 1002,Ward 1,2563,-77.04041751,38.92207676,NW
72048,2,0,Hot Water Rad,Y,1,7,4,1940,2013,1969,2,5/26/2015 0:00,550000,Q,5,1150,1,2 Story,Single,Good Quality,Good,Common Brick,Comp Shingle,Hardwood,1,1,12,3326,7/22/2018 18:01,Residential,,,1301 BUCHANAN STREET NE,WASHINGTON,DC,20017,18S UJ 27664 12675,38.94609507,-76.98862262,Brookland,007 B Brookland,9503,009503 1008,Ward 5,3978,-76.98821565,38.94575958,NE
59837,2,0,Hot Water Rad,Y,1,8,5,1909,1994,1957,3,11/21/2017 0:00,650000,U,2,2324,1,3 Story,Row Inside,Above Average,Average,Common Brick,Built Up,Hardwood,1,0,11,2450,7/22/2018 18:01,Residential,,,50 BRYANT STREET NW,WASHINGTON,DC,20001,18S UJ 25656 09940,38.92106571,-77.01108544,Ledroit Park,031 B Ledroit Park,3301,003301 1002,Ward 5,3124,-77.0106304,38.9207344,NW
67335,2,0,Forced Air,Y,1,6,3,1922,2012,1964,2,10/25/2017 0:00,635000,U,5,1248,1,2 Story,Row End,Average,Good,Common Brick,Built Up,Carpet,2,0,11,720,7/22/2018 18:01,Residential,,,200 ADAMS STREET NE,WASHINGTON,DC,20002,18S UJ 26328 09850,38.92038579,-77.00331346,Brookland,007 E Brookland,9203,009203 2007,Ward 5,3557,-77.00276841,38.92076783,NE
99991,2,0,Hot Water Rad,N,1,5,2,1920,2008,1954,1,8/16/2004 0:00,249900,Q,1,1050,1,1 Story,Single,Average,Average,Stone Veneer,Comp Shingle,Hardwood,1,1,12,2875,7/22/2018 18:01,Residential,,,3004 ALABAMA AVENUE SE,WASHINGTON,DC,20020,18S UJ 29565 03204,38.86116827,-76.96434,Hillcrest,028 C Hillcrest,7604,007604 2032,Ward 7,5652,-76.96408136,38.86199482,SE
85386,1,0,Forced Air,Y,1,6,3,1910,2010,1964,2,6/30/2014 0:00,205000,Q,5,1156,1,2 Story,Single,Average,Good,Concrete,Comp Shingle,Hardwood,1,0,12,2250,7/22/2018 18:01,Residential,,,4409 SHERIFF ROAD NE,WASHINGTON,DC,20019,18S UJ 31894 07750,38.90256185,-76.93862227,Deanwood,018 B Deanwood,7809,007809 2006,Ward 7,5126,-76.93778591,38.90212998,NE
34768,3,1,Warm Cool,Y,1,8,5,1941,2008,1969,2.25,5/4/2018 0:00,1140000,Q,4,2039,1,2.5 Story Fin,Single,Good Quality,Good,Common Brick,Slate,Hardwood,1,1,12,3967,7/22/2018 18:01,Residential,,,5438 BROAD BRANCH ROAD NW,WASHINGTON,DC,20015,18S UJ 20891 14657,38.96258501,-77.06725235,Chevy Chase,011 B Chevy Chase,1401,001401 1015,Ward 3,1992,-77.06824634,38.96192439,NW
